                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3544,                 4.2349,                 1.8457,                0.00688,                0.25882,                0.00465,                0.00147,                 2.7212,                 3.7869,                  1.346,                 0.0865,                 0.0015,                 0.0015
                      1,                 2.6649,                 2.9957,                 1.4069,                0.01906,                0.71765,                0.10251,                0.03135,                 2.5886,                 3.1022,                 1.3982,               0.072069,              0.0030693,              0.0030693
                      2,                 2.5013,                 2.1297,                 1.3481,                0.02021,                0.76078,                0.26595,                0.09224,                  2.423,                 2.9757,                 1.3519,               0.057607,              0.0046069,              0.0046069
                      3,                  2.495,                 1.9638,                 1.3155,                0.02135,                0.80392,                 0.3616,                0.11367,                 2.3454,                 2.8152,                 1.2883,               0.043113,              0.0061129,              0.0061129
                      4,                 2.5059,                 1.8929,                  1.321,                0.23723,                0.58431,                0.29486,                0.08849,                 2.4327,                 2.6216,                 1.2797,               0.028587,              0.0075872,              0.0075872
                      5,                 2.4916,                 1.8804,                 1.2932,                0.66822,                 0.0902,                0.33588,                0.10063,                 2.5277,                 2.6263,                 1.3019,                0.01403,              0.0090297,              0.0090297
                      6,                  2.457,                 1.8038,                 1.2716,                0.56635,                0.43529,                0.48623,                0.14464,                 2.3666,                 1.9066,                 1.2598,               0.009406,               0.009406,               0.009406
                      7,                 2.4013,                 1.8183,                 1.2577,                0.46181,                0.46101,                0.39462,                0.10369,                 2.5432,                 1.7912,                 1.3176,               0.009406,               0.009406,               0.009406
                      8,                 2.4695,                 1.8127,                 1.2774,                0.55592,                0.47451,                0.45982,                0.15382,                 2.3312,                 1.6257,                 1.2454,               0.009307,               0.009307,               0.009307
                      9,                 2.3538,                 1.7031,                 1.2439,                0.38322,                0.47451,                0.33966,                0.10833,                 2.3425,                 2.0793,                 1.2835,               0.009208,               0.009208,               0.009208
                     10,                 2.3862,                 1.7266,                 1.2454,                0.48345,                 0.5451,                 0.4802,                 0.1661,                 2.2521,                 1.7183,                 1.2644,               0.009109,               0.009109,               0.009109
                     11,                 2.3396,                 1.6966,                 1.2452,                0.49129,                0.57567,                0.50666,                0.15417,                 2.2667,                 1.5404,                 1.2036,                0.00901,                0.00901,                0.00901
                     12,                  2.332,                 1.7077,                  1.218,                0.53618,                0.58028,                0.51231,                0.17677,                 2.2746,                 1.4907,                 1.2176,               0.008911,               0.008911,               0.008911
                     13,                 2.3201,                 1.5804,                 1.2298,                0.54624,                0.55233,                0.49811,                0.15791,                 2.2732,                 1.4589,                 1.2402,               0.008812,               0.008812,               0.008812
                     14,                 2.2709,                 1.5545,                 1.2111,                0.55837,                0.58039,                0.56515,                0.18494,                 2.2765,                 1.4316,                 1.2108,               0.008713,               0.008713,               0.008713
