               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12884,            0.051743,                   0,          0.00020833,           0.0078431,           0.0001065,           1.607e-05,             0.12191,            0.051003,                   0,              0.0865,              0.0015,              0.0015
                   1,             0.12033,            0.052618,                   0,          0.00083333,            0.031373,          0.00044028,          0.00010244,             0.11474,            0.054298,                   0,            0.072094,           0.0030939,           0.0030939
                   2,             0.11329,            0.054516,                   0,            0.010417,             0.39216,            0.020709,           0.0045418,             0.10682,            0.050961,                   0,            0.057681,           0.0046814,           0.0046814
                   3,             0.10729,            0.050172,                   0,            0.096464,             0.30588,            0.070585,            0.015661,             0.10452,            0.062311,                   0,            0.043263,           0.0062626,           0.0062626
                   4,             0.10052,            0.042614,                   0,             0.15316,             0.35604,             0.11458,            0.025075,             0.10019,              0.0494,                   0,            0.028837,           0.0078374,           0.0078374
                   5,            0.096876,              0.0435,                   0,              0.1843,             0.31898,             0.12393,            0.027376,            0.097046,            0.050922,                   0,            0.014406,           0.0094059,           0.0094059
                   6,            0.091302,            0.042905,                   0,             0.19337,             0.39608,             0.14411,            0.033385,            0.087772,            0.051605,                   0,           0.0098812,           0.0098812,           0.0098812
                   7,            0.085515,            0.045405,                   0,             0.14309,             0.36863,             0.11829,              0.0279,            0.082069,            0.053741,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.083325,            0.047293,                   0,             0.21789,             0.40784,             0.15134,            0.037157,            0.077949,            0.092216,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,             0.07896,            0.043891,                   0,             0.33529,             0.44314,             0.29733,             0.07952,             0.07154,            0.056568,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.075055,            0.046923,                   0,             0.23402,             0.35686,             0.19168,            0.048038,            0.078237,            0.050413,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.073803,            0.044321,                   0,             0.20408,             0.43529,             0.16466,            0.041093,            0.074868,            0.048386,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.072497,            0.044879,                   0,             0.39539,             0.48235,             0.37081,             0.10032,            0.069993,            0.057428,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,             0.07032,            0.044785,                   0,             0.46281,             0.53381,             0.44111,             0.12623,             0.06643,            0.050289,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.067379,            0.045257,                   0,             0.50992,             0.62353,              0.4832,             0.13751,            0.066332,            0.047012,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.066136,            0.043582,                   0,             0.48726,             0.61176,             0.51302,              0.1425,            0.065351,            0.043077,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.065505,             0.04402,                   0,             0.56678,             0.63922,             0.57187,             0.16293,            0.062774,             0.03898,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.063506,            0.042259,                   0,             0.57416,             0.59748,             0.55495,             0.16008,            0.061668,            0.042873,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.065085,             0.04223,                   0,             0.64235,             0.63391,             0.62101,             0.19623,            0.061563,            0.040737,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.065919,             0.04254,                   0,             0.50003,             0.48634,             0.40583,             0.10949,            0.065747,            0.039253,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.065761,            0.041691,                   0,             0.59221,             0.55294,             0.49358,             0.14728,            0.062718,            0.038654,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.063856,            0.042779,                   0,             0.63423,             0.59216,             0.59517,             0.17668,            0.060993,            0.038153,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.061381,            0.044913,                   0,             0.67703,             0.59188,             0.59804,             0.17614,            0.059868,            0.038822,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.061366,            0.040428,                   0,             0.67587,               0.646,             0.65004,               0.192,            0.060446,            0.037304,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.064279,             0.04045,                   0,             0.74908,             0.64314,             0.70106,             0.23569,            0.058117,            0.037899,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.058735,            0.044819,                   0,             0.72554,             0.61165,             0.64424,              0.2159,            0.060348,            0.038532,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,             0.06146,            0.041651,                   0,             0.71299,             0.63922,             0.65653,              0.2097,            0.056828,            0.038231,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.059677,            0.041888,                   0,             0.68611,             0.61961,             0.62901,             0.20403,              0.0585,            0.038795,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.057409,             0.03965,                   0,             0.70643,             0.67451,             0.66475,             0.21501,            0.057833,            0.038265,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.057356,            0.041315,                   0,             0.72081,             0.69862,             0.69289,             0.21815,            0.056682,            0.037876,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.058239,            0.041536,                   0,             0.70848,             0.58431,             0.61332,             0.20364,            0.056753,            0.037836,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.057442,             0.04041,                   0,             0.71507,              0.6594,              0.6661,             0.20982,            0.058197,             0.03826,                   0,            0.009406,            0.009406,            0.009406
                  32,             0.06048,            0.041598,                   0,             0.68353,             0.70302,              0.6732,              0.2318,            0.058604,            0.038422,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,            0.056501,             0.03928,                   0,             0.65811,             0.65098,             0.63095,             0.22188,            0.056924,             0.04003,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,            0.057655,            0.039611,                   0,             0.63155,             0.69804,             0.67157,             0.19966,              0.0591,            0.039379,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,             0.05707,            0.040442,                   0,             0.66616,             0.69412,             0.65154,             0.23668,            0.055989,            0.038038,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,            0.056794,             0.04014,                   0,             0.63199,             0.59608,             0.60857,             0.16176,            0.059754,            0.038748,                   0,            0.009307,            0.009307,            0.009307
                  37,            0.057826,            0.038675,                   0,             0.60001,             0.56863,             0.56749,             0.13992,            0.065476,            0.037573,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.059205,              0.0417,                   0,              0.6912,             0.67589,             0.68172,             0.19314,            0.061891,            0.036224,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.059681,            0.039737,                   0,             0.69804,             0.62552,             0.66583,             0.19464,            0.061345,            0.037426,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.055534,            0.040764,                   0,             0.75453,             0.68709,              0.7262,             0.24282,            0.056667,            0.037775,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,             0.05444,            0.040681,                   0,             0.80611,             0.61176,             0.69204,             0.23548,            0.055476,             0.03878,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.056242,            0.039333,                   0,              0.7229,             0.68546,             0.71025,              0.2535,            0.055577,            0.037907,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.054256,             0.03866,                   0,             0.77581,             0.69804,             0.72118,             0.25882,            0.055886,            0.037069,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.055092,            0.038914,                   0,             0.71953,             0.67059,             0.69586,             0.24348,            0.056746,            0.037735,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.052959,            0.038502,                   0,             0.75459,             0.69938,             0.72437,             0.26486,            0.054219,            0.037285,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.055397,            0.039284,                   0,             0.72548,             0.71373,             0.72256,             0.25692,            0.054617,            0.036785,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.056691,             0.04053,                   0,             0.75498,             0.72501,             0.74514,             0.27971,            0.053856,             0.03697,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.054097,             0.03837,                   0,             0.68895,             0.68618,             0.69721,             0.21512,            0.059515,            0.037443,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,             0.05524,            0.037731,                   0,              0.7589,             0.68235,             0.73855,             0.23692,            0.056359,            0.038227,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.055286,            0.037213,                   0,             0.77971,             0.68627,             0.73679,             0.25963,            0.055061,            0.037811,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.053877,            0.039189,                   0,             0.78284,             0.69804,              0.7431,              0.2513,            0.056356,            0.037169,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.052826,            0.037854,                   0,             0.78425,             0.68423,             0.73492,             0.26295,            0.054167,            0.037449,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.051968,            0.038502,                   0,             0.77719,              0.7113,             0.76395,             0.25326,            0.055364,            0.037376,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.052199,             0.03909,                   0,             0.74778,              0.6902,             0.72295,             0.24175,            0.055165,            0.037943,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.051777,            0.037944,                   0,             0.76874,             0.69091,             0.75502,             0.25827,            0.054949,            0.037565,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.051572,            0.037904,                   0,             0.75459,             0.66667,             0.69782,             0.25386,            0.055082,             0.03722,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.053827,            0.036128,                   0,             0.76621,             0.63529,             0.70514,             0.25503,            0.055449,            0.037243,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.054407,            0.038904,                   0,             0.73484,             0.59772,             0.60568,             0.22775,            0.056961,            0.037426,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.053054,            0.039101,                   0,             0.70338,             0.66275,             0.65669,             0.24273,            0.054583,            0.037081,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.052173,            0.037478,                   0,             0.74283,             0.69804,             0.71647,             0.25674,            0.055425,            0.037777,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.054176,             0.03724,                   0,             0.78384,              0.6549,             0.71768,             0.26008,            0.056206,            0.037571,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.051675,            0.036596,                   0,             0.77405,             0.68516,             0.72274,             0.26049,            0.056043,            0.037991,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.052752,            0.037297,                   0,              0.7408,             0.65882,             0.69395,             0.24873,            0.055259,            0.038387,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.052312,            0.036934,                   0,             0.73382,             0.71373,             0.73796,             0.26403,             0.05477,            0.038713,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.051694,            0.038854,                   0,             0.75963,             0.66667,             0.71936,             0.21739,            0.058746,            0.039232,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.052436,            0.037902,                   0,             0.77584,              0.6515,             0.72618,             0.24345,            0.057781,            0.038532,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.049828,            0.038036,                   0,             0.74716,             0.70588,             0.73814,               0.263,            0.054423,            0.038311,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.052971,            0.037863,                   0,              0.7379,             0.71763,             0.74677,             0.26779,            0.053448,            0.036802,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.050123,            0.039016,                   0,             0.76768,             0.69412,             0.75482,             0.26811,            0.054023,            0.037733,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.049334,            0.037244,                   0,              0.7935,             0.70588,             0.74852,             0.27738,             0.05415,            0.037746,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.050521,            0.036188,                   0,             0.77121,             0.71765,             0.77773,             0.27962,            0.053863,            0.038153,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.050723,            0.036293,                   0,             0.76695,             0.67109,             0.68863,             0.25272,            0.054754,            0.037838,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.051486,            0.035732,                   0,             0.75803,             0.67843,             0.69626,             0.25499,            0.055289,            0.037346,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.049964,            0.035455,                   0,             0.79749,             0.71037,             0.73568,             0.25889,            0.054935,            0.037937,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.050386,             0.03625,                   0,             0.73822,             0.72941,             0.73443,             0.25908,            0.053989,            0.037979,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.050936,            0.037047,                   0,             0.83679,             0.63137,             0.72224,             0.26224,             0.05501,            0.038208,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.049914,            0.039582,                   0,             0.71887,             0.66184,             0.70213,              0.2667,            0.054066,            0.038513,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.049845,            0.036216,                   0,             0.78129,             0.67451,              0.7414,             0.23952,            0.055724,            0.039341,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,             0.05056,            0.038374,                   0,             0.74924,             0.71373,             0.73456,             0.25256,            0.055035,            0.038166,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.048095,            0.035054,                   0,             0.75982,             0.64314,             0.69748,              0.2462,            0.054758,            0.037868,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.048816,            0.036705,                   0,             0.77064,              0.7247,             0.74807,              0.2607,            0.054172,            0.038086,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.048691,             0.03872,                   0,             0.78641,             0.66417,             0.74494,             0.27392,             0.05366,              0.0385,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,             0.04905,            0.035812,                   0,             0.74354,             0.67059,             0.72946,             0.25144,            0.054577,            0.039194,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.051006,            0.035499,                   0,             0.76414,             0.72157,             0.75807,             0.25704,             0.05543,            0.037748,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.049806,             0.03477,                   0,             0.79701,             0.72369,              0.7926,             0.25674,            0.054785,            0.037247,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.047371,            0.036936,                   0,             0.83715,             0.64314,             0.76695,             0.26925,            0.053019,            0.037703,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.049941,            0.038575,                   0,             0.78717,             0.66667,             0.73787,             0.26772,            0.053666,            0.037212,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.049173,            0.035725,                   0,             0.76582,             0.68627,             0.77866,             0.26118,            0.054755,            0.037083,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.049227,            0.037165,                   0,               0.772,             0.69804,             0.73355,             0.26686,             0.05344,            0.037388,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.045958,            0.035136,                   0,             0.76806,             0.74023,             0.75519,             0.27168,            0.052664,            0.037251,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.047362,            0.036849,                   0,             0.79489,             0.68627,             0.76521,             0.26356,            0.053981,            0.038765,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.048052,            0.035919,                   0,             0.75132,             0.66349,              0.7059,             0.25507,            0.054883,            0.039106,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.048227,            0.034208,                   0,             0.79893,             0.70588,             0.77233,             0.27431,            0.052512,            0.037271,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.045849,            0.033891,                   0,             0.76642,             0.70773,             0.74661,             0.27241,            0.053197,            0.037964,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.047281,            0.033201,                   0,             0.73501,             0.68235,             0.70041,             0.25972,             0.05463,            0.038815,                   0,           0.0081388,           0.0081388,           0.0081388
