               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1346,            0.027557,                   0,                   0,                   0,                   0,                   0,             0.12973,            0.027209,                   0,              0.0865,              0.0015,              0.0015
                   1,              0.1278,            0.029289,                   0,          0.00020833,           0.0078431,          0.00010546,           2.632e-05,              0.1244,            0.029892,                   0,            0.072085,           0.0030847,           0.0030847
                   2,             0.12089,            0.031068,                   0,          0.00052083,            0.019608,          0.00027898,          8.4735e-05,             0.12366,            0.028658,                   0,            0.057653,           0.0046535,           0.0046535
                   3,             0.12054,            0.033198,                   0,             0.00625,             0.23529,           0.0099528,           0.0020882,             0.12328,             0.02888,                   0,            0.043206,           0.0062064,           0.0062064
                   4,              0.1148,            0.032029,                   0,             0.10602,             0.15686,            0.042329,           0.0078215,             0.11255,            0.030384,                   0,            0.028744,           0.0077436,           0.0077436
                   5,             0.10914,            0.029067,                   0,             0.10832,             0.27059,            0.068738,            0.015545,             0.11063,             0.02786,                   0,            0.014265,           0.0092649,           0.0092649
                   6,             0.10888,            0.026504,                   0,             0.17504,             0.24314,            0.099027,            0.019282,            0.098639,             0.02907,                   0,            0.009703,            0.009703,            0.009703
                   7,            0.099738,            0.029347,                   0,            0.050498,             0.16863,            0.020146,           0.0038891,             0.10544,            0.036309,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.095844,            0.030753,                   0,             0.12834,             0.31373,            0.083353,             0.01821,             0.10548,            0.039063,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.089335,            0.029558,                   0,             0.19068,             0.32549,             0.12375,            0.026881,             0.10186,            0.029588,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.090839,            0.029286,                   0,              0.2667,             0.34118,             0.19273,            0.040006,            0.095945,             0.03027,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.084636,            0.029952,                   0,             0.15807,             0.36078,             0.14619,            0.032325,            0.092625,            0.031413,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.082605,            0.032518,                   0,              0.3447,             0.41176,             0.28722,            0.065591,            0.083013,            0.031614,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.078369,            0.031427,                   0,             0.24723,             0.33333,             0.17449,            0.042533,             0.08921,            0.034943,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.078081,             0.03093,                   0,             0.27857,             0.31373,             0.18307,            0.045124,            0.086476,            0.034342,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.077236,            0.030056,                   0,             0.39444,             0.40784,             0.27299,            0.062644,            0.078935,            0.029611,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.076601,            0.030156,                   0,             0.29407,             0.40392,             0.22561,            0.054835,            0.081504,            0.026637,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.072505,            0.028621,                   0,             0.45439,             0.48663,             0.39244,            0.096059,            0.078191,            0.025851,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.075381,            0.029262,                   0,             0.51485,             0.44314,             0.43684,            0.098223,            0.074399,            0.025145,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.073958,            0.029601,                   0,             0.55324,             0.44706,              0.4424,              0.1051,            0.076662,             0.02802,                   0,            0.009109,            0.009109,            0.009109
                  20,              0.0743,             0.02942,                   0,             0.57408,             0.50214,             0.47583,             0.12687,            0.073329,             0.02631,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.072915,            0.030023,                   0,              0.6079,             0.49804,             0.50092,             0.13073,            0.072834,            0.025403,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.070962,            0.030119,                   0,             0.56424,             0.51373,             0.50063,             0.12798,              0.0723,            0.025331,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.070932,            0.028018,                   0,             0.62641,             0.53333,             0.53996,             0.14286,            0.072542,            0.025397,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.069596,            0.028333,                   0,             0.59068,               0.498,             0.49363,             0.13913,            0.071896,            0.025347,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.068751,            0.030029,                   0,             0.55245,             0.45098,             0.46378,             0.12598,            0.069599,            0.026206,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.068727,             0.02924,                   0,             0.52382,             0.51373,             0.46604,               0.121,            0.070044,            0.026463,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.068604,            0.029572,                   0,             0.53783,             0.47917,             0.42871,              0.1086,            0.072583,            0.028663,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.069701,            0.028154,                   0,             0.55525,             0.54118,             0.49656,             0.12927,            0.070442,            0.028407,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.065875,            0.029105,                   0,             0.57727,             0.51765,             0.47474,             0.13622,            0.070184,            0.028584,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.065024,            0.029746,                   0,             0.62873,             0.47153,             0.48861,             0.13401,            0.070226,            0.026876,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,             0.06547,            0.028525,                   0,             0.64672,             0.52407,             0.52113,             0.14792,            0.068833,            0.025351,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.062134,            0.029364,                   0,             0.58755,             0.47059,             0.44045,             0.11956,            0.069247,            0.024475,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.066714,            0.027375,                   0,             0.61591,             0.50196,             0.48665,             0.13319,            0.072997,            0.024853,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.066053,            0.028035,                   0,             0.65742,             0.56471,             0.57417,             0.15675,            0.068108,            0.024828,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.067373,            0.028425,                   0,             0.67741,              0.5435,             0.58569,             0.16136,             0.06829,            0.025424,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.065544,            0.028431,                   0,             0.64581,             0.53333,             0.56056,             0.16058,            0.064914,            0.025058,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.064554,            0.027858,                   0,             0.71696,             0.54118,             0.60164,             0.17438,            0.064553,            0.025185,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.063507,            0.029362,                   0,             0.67164,             0.57755,             0.59464,             0.17022,            0.067673,             0.02524,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.062869,            0.027623,                   0,             0.72082,             0.55686,              0.5947,             0.17052,            0.069693,            0.024797,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.064879,            0.029212,                   0,             0.63807,             0.50469,             0.51688,             0.14744,            0.066625,            0.024879,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,              0.0626,            0.028976,                   0,             0.70622,             0.48235,              0.5158,             0.14878,            0.069058,            0.024288,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.063698,            0.027833,                   0,             0.70743,             0.60392,             0.61998,             0.17685,            0.065148,            0.024829,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.061374,            0.027637,                   0,             0.61439,             0.59983,             0.55397,             0.15031,            0.066781,            0.026441,                   0,            0.007921,            0.007921,            0.007921
                  44,             0.06226,            0.027216,                   0,             0.61397,             0.59253,             0.53931,             0.14939,            0.068069,            0.026554,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.061266,            0.027719,                   0,             0.64123,             0.56772,             0.55938,             0.14415,            0.066718,            0.026249,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.060147,            0.028252,                   0,             0.65853,             0.58235,             0.59352,             0.18138,              0.0664,            0.024955,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.062295,            0.028649,                   0,             0.62077,             0.58039,             0.56177,             0.17618,            0.065061,            0.026459,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.063104,            0.027254,                   0,             0.72044,             0.60784,             0.65318,             0.18835,            0.064155,            0.024694,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.063573,            0.026651,                   0,             0.64327,             0.56863,             0.61116,             0.18867,            0.064092,            0.025011,                   0,            0.007624,            0.007624,            0.007624
                  50,             0.06101,            0.026559,                   0,             0.69187,             0.53713,             0.61653,              0.1746,            0.065141,            0.025797,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,             0.06185,            0.028172,                   0,             0.64292,             0.52957,             0.56971,             0.18266,            0.066846,            0.025916,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.062139,            0.027551,                   0,             0.65531,             0.51765,             0.53816,             0.15792,            0.065509,             0.02451,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.060798,            0.027485,                   0,             0.71801,             0.55294,             0.60015,             0.18122,            0.063945,            0.024546,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.061619,            0.028036,                   0,             0.68019,             0.58431,             0.59112,             0.16927,            0.064402,            0.025158,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,             0.05979,            0.027285,                   0,             0.63878,             0.61961,             0.59523,             0.17443,             0.06322,             0.02424,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.058608,            0.027976,                   0,             0.60614,             0.52549,             0.51424,             0.15428,            0.065348,             0.02456,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.060256,            0.026239,                   0,             0.66092,             0.62745,             0.60463,             0.17908,            0.067639,            0.025307,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.060109,            0.028303,                   0,             0.58696,             0.59608,             0.55853,             0.16246,            0.065581,            0.025398,                   0,           0.0071785,           0.0071785,           0.0071785
